id;Consent_000_RAW;Consent_001_RAW;CRT7_01_RAW;CRT7_02_RAW;CRT7_03_RAW;CRT7_04_RAW;CRT7_05_RAW;CRT7_06_RAW;CRT7_07_RAW;ESM_01_RAW;ESM_02_RAW;ESM_03_RAW;ESM_04_RAW;ESM_05_RAW;ESM_06_RAW;ESM_07_RAW;ESM_08_RAW;ESM_09_RAW;ESM_10_RAW;ESM_11_RAW;Goodbye_001_RAW
28;"";acepto participar;"{""""Q0"""":""""20""""}";"{""""Q0"""":""""47""""}";"{""""Q0"""":""""81""""}";"{""""Q0"""":""""57""""}";"{""""Q0"""":""""60""""}";"{""""Q0"""":""""32""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";vo5du478y1kcyarh73ht
10;"";acepto participar;"{""""Q0"""":""""50""""}";"{""""Q0"""":""""54""""}";"{""""Q0"""":""""100""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""16""""}";"{""""Q0"""":""""69""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";ye3x8vdreb5gypfjt7es
13;"";acepto participar;"{""""Q0"""":""""46""""}";"{""""Q0"""":""""12""""}";"{""""Q0"""":""""26""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""82""""}";"{""""Q0"""":""""72""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";jp1v736nn0qk6cnql6r0
11;"";acepto participar;"{""""Q0"""":""""77""""}";"{""""Q0"""":""""46""""}";"{""""Q0"""":""""12""""}";"{""""Q0"""":""""26""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""82""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";xg91l4d78yqy4t6l33ud
12;"";acepto participar;"{""""Q0"""":""""54""""}";"{""""Q0"""":""""100""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""16""""}";"{""""Q0"""":""""69""""}";"{""""Q0"""":""""76""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";dwbabk351h1xyo170rpy
16;"";acepto participar;"{""""Q0"""":""""58""""}";"{""""Q0"""":""""16""""}";"{""""Q0"""":""""69""""}";"{""""Q0"""":""""76""""}";"{""""Q0"""":""""40""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";gzjcxont4mll6nm520jl
14;"";acepto participar;"{""""Q0"""":""""100""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""16""""}";"{""""Q0"""":""""69""""}";"{""""Q0"""":""""76""""}";"{""""Q0"""":""""40""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";5l6g6hmag9t30v22ybpl
15;"";acepto participar;"{""""Q0"""":""""12""""}";"{""""Q0"""":""""26""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""82""""}";"{""""Q0"""":""""72""""}";"{""""Q0"""":""""42""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";fjwdd007phcl9b73cyjp
2;"";acepto participar;"{""""Q0"""":""""49""""}";"{""""Q0"""":""""37""""}";"{""""Q0"""":""""41""""}";"{""""Q0"""":""""27""""}";"{""""Q0"""":""""50""""}";"{""""Q0"""":""""54""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";s3npy6glaeql7s74oz7b
18;"";acepto participar;"{""""Q0"""":""""16""""}";"{""""Q0"""":""""69""""}";"{""""Q0"""":""""76""""}";"{""""Q0"""":""""40""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""20""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";stx1yohjvzq711rq1r86
1;"";acepto participar;"{""""Q0"""":""""39""""}";"{""""Q0"""":""""37""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""27""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""77""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";klbtowfpxkv1x9vpe6x4
17;"";acepto participar;"{""""Q0"""":""""26""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""82""""}";"{""""Q0"""":""""72""""}";"{""""Q0"""":""""42""""}";"{""""Q0"""":""""45""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";pp2cscygjhnrpjb49d17
19;"";acepto participar;"{""""Q0"""":""""36""""}";"{""""Q0"""":""""82""""}";"{""""Q0"""":""""72""""}";"{""""Q0"""":""""42""""}";"{""""Q0"""":""""45""""}";"{""""Q0"""":""""49""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";o07mdzcgvcgbtr1c3w2n
3;"";acepto participar;"{""""Q0"""":""""37""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""27""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""77""""}";"{""""Q0"""":""""46""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";n6cfk6epzzh8e9uesv4q
5;"";acepto participar;"{""""Q0"""":""""58""""}";"{""""Q0"""":""""27""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""77""""}";"{""""Q0"""":""""46""""}";"{""""Q0"""":""""12""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";yylt0uj5r2c3awduwged
6;"";acepto participar;"{""""Q0"""":""""41""""}";"{""""Q0"""":""""27""""}";"{""""Q0"""":""""50""""}";"{""""Q0"""":""""54""""}";"{""""Q0"""":""""100""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Mejor""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";6a4m7h3yxnm4xp5r49t3
4;"";acepto participar;"{""""Q0"""":""""37""""}";"{""""Q0"""":""""41""""}";"{""""Q0"""":""""27""""}";"{""""Q0"""":""""50""""}";"{""""Q0"""":""""54""""}";"{""""Q0"""":""""100""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Mala""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";8jy81p7lhlaawrp68trk
9;"";acepto participar;"{""""Q0"""":""""38""""}";"{""""Q0"""":""""77""""}";"{""""Q0"""":""""46""""}";"{""""Q0"""":""""12""""}";"{""""Q0"""":""""26""""}";"{""""Q0"""":""""36""""}";"{""""Q0"""":""""No ha ganado ni perdido dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";jcw2q7j5glgwb9x6btbd
7;"";acepto participar;"{""""Q0"""":""""27""""}";"{""""Q0"""":""""38""""}";"{""""Q0"""":""""77""""}";"{""""Q0"""":""""46""""}";"{""""Q0"""":""""12""""}";"{""""Q0"""":""""26""""}";"{""""Q0"""":""""Ha perdido dinero""""}";"{""""Q0"""":""""Igual""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";4xskhzglzq58uet52lzp
8;"";acepto participar;"{""""Q0"""":""""27""""}";"{""""Q0"""":""""50""""}";"{""""Q0"""":""""54""""}";"{""""Q0"""":""""100""""}";"{""""Q0"""":""""58""""}";"{""""Q0"""":""""16""""}";"{""""Q0"""":""""Ha ganado dinero""""}";"{""""Q0"""":""""Peor""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""Buena""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Muy Mala""""}";"{""""Q0"""":""""Si""""}";"{""""Q0"""":""""No""""}";"{""""Q0"""":""""No se""""}";"{""""Q0"""":""""Si""""}";ol2dwnah1d7zzee9ec2u
